report_id,week_number,firm_rate,firm_id,last_changed_date
1,202501,11.7,1,4/24/2025
2,202501,12.7,2,4/24/2025
3,202501,13.1,3,4/24/2025
4,202501,15.4,4,4/24/2025
5,202501,13,5,4/24/2025
6,202501,12.7,6,4/24/2025
7,202501,13.3,7,4/24/2025
8,202501,16.8,8,4/24/2025
9,202501,13.9,9,4/24/2025
10,202501,13.6,10,4/24/2025
11,202501,8.7,11,4/24/2025
12,202501,16.1,12,4/24/2025
13,202501,14.5,13,4/24/2025
14,202501,13.5,14,4/24/2025
15,202501,13.9,15,4/24/2025
16,202501,16.3,16,4/24/2025
17,202501,12.9,17,4/24/2025
18,202501,13.8,18,4/24/2025
19,202501,13.3,19,4/24/2025
20,202501,15.9,20,4/24/2025
21,202501,16.5,21,4/24/2025
22,202501,14,22,4/24/2025
23,202501,15.2,23,4/24/2025
24,202501,12.3,24,4/24/2025
25,202501,13.3,25,4/24/2025
26,202501,15.5,26,4/24/2025
27,202501,13,27,4/24/2025
28,202501,15.5,28,4/24/2025
29,202501,14.1,29,4/24/2025
30,202501,11.2,30,4/24/2025
31,202501,12.4,31,4/24/2025
32,202501,11.4,32,4/24/2025
33,202501,9.9,33,4/24/2025
34,202501,11.5,34,4/24/2025
35,202502,11.7,1,4/24/2025
36,202502,12.7,2,4/24/2025
37,202502,12.9,3,4/24/2025
38,202502,15.1,4,4/24/2025
39,202502,13.1,5,4/24/2025
40,202502,12.7,6,4/24/2025
41,202502,13.3,7,4/24/2025
42,202502,16.6,8,4/24/2025
43,202502,13.7,9,4/24/2025
44,202502,12.9,10,4/24/2025
45,202502,7,11,4/24/2025
46,202502,15.9,12,4/24/2025
47,202502,13.6,13,4/24/2025
48,202502,12.8,14,4/24/2025
49,202502,13,15,4/24/2025
50,202502,16.3,16,4/24/2025
51,202502,12.5,17,4/24/2025
52,202502,12.9,18,4/24/2025
53,202502,13.3,19,4/24/2025
54,202502,15.4,20,4/24/2025
55,202502,16.3,21,4/24/2025
56,202502,13.6,22,4/24/2025
57,202502,15.2,23,4/24/2025
58,202502,12.1,24,4/24/2025
59,202502,13.1,25,4/24/2025
60,202502,15.5,26,4/24/2025
61,202502,12.6,27,4/24/2025
62,202502,14.2,28,4/24/2025
63,202502,13.7,29,4/24/2025
64,202502,11.1,30,4/24/2025
65,202502,12.8,31,4/24/2025
66,202502,11.3,32,4/24/2025
67,202502,9.6,33,4/24/2025
68,202502,11.3,34,4/24/2025
69,202503,11.5,1,4/24/2025
70,202503,14.3,2,4/24/2025
71,202503,11.6,3,4/24/2025
72,202503,15,4,4/24/2025
73,202503,13,5,4/24/2025
74,202503,12.6,6,4/24/2025
75,202503,12.6,7,4/24/2025
76,202503,16.6,8,4/24/2025
77,202503,13,9,4/24/2025
78,202503,12.3,10,4/24/2025
79,202503,7,11,4/24/2025
80,202503,15.8,12,4/24/2025
81,202503,12.9,13,4/24/2025
82,202503,12.8,14,4/24/2025
83,202503,13.1,15,4/24/2025
84,202503,16.3,16,4/24/2025
85,202503,12.5,17,4/24/2025
86,202503,13.2,18,4/24/2025
87,202503,12.5,19,4/24/2025
88,202503,15.4,20,4/24/2025
89,202503,16.2,21,4/24/2025
90,202503,14,22,4/24/2025
91,202503,15.2,23,4/24/2025
92,202503,12.1,24,4/24/2025
93,202503,12.9,25,4/24/2025
94,202503,15.5,26,4/24/2025
95,202503,12.1,27,4/24/2025
96,202503,13.6,28,4/24/2025
97,202503,13.5,29,4/24/2025
98,202503,11.1,30,4/24/2025
99,202503,12.9,31,4/24/2025
100,202503,11.3,32,4/24/2025
101,202503,9.6,33,4/24/2025
102,202503,11.5,34,4/24/2025
103,202504,11.2,1,4/24/2025
104,202504,12.1,2,4/24/2025
105,202504,11.5,3,4/24/2025
106,202504,10.8,4,4/24/2025
107,202504,13,5,4/24/2025
108,202504,12.6,6,4/24/2025
109,202504,12.6,7,4/24/2025
110,202504,16.5,8,4/24/2025
111,202504,13.7,9,4/24/2025
112,202504,12,10,4/24/2025
113,202504,6.9,11,4/24/2025
114,202504,15.3,12,4/24/2025
115,202504,12.8,13,4/24/2025
116,202504,13.1,14,4/24/2025
117,202504,13,15,4/24/2025
118,202504,16.3,16,4/24/2025
119,202504,12.4,17,4/24/2025
