report_id,week_number,firm_rate,firm_id,last_changed_date,
1,202501,11.7,1,2025-04-24,
2,202501,12.7,2,2025-04-24,
3,202501,13.1,3,2025-04-24,
4,202501,15.4,4,2025-04-24,
5,202501,13,5,2025-04-24,
6,202501,12.7,6,2025-04-24,
7,202501,13.3,7,2025-04-24,
8,202501,16.8,8,2025-04-24,
9,202501,13.9,9,2025-04-24,
10,202501,13.6,10,2025-04-24,
11,202501,8.7,11,2025-04-24,
12,202501,16.1,12,2025-04-24,
13,202501,14.5,13,2025-04-24,
14,202501,13.5,14,2025-04-24,
15,202501,13.9,15,2025-04-24,
16,202501,16.3,16,2025-04-24,
17,202501,12.9,17,2025-04-24,
18,202501,13.8,18,2025-04-24,
19,202501,13.3,19,2025-04-24,
20,202501,15.9,20,2025-04-24,
21,202501,16.5,21,2025-04-24,
22,202501,14,22,2025-04-24,
23,202501,15.2,23,2025-04-24,
24,202501,12.3,24,2025-04-24,
25,202501,13.3,25,2025-04-24,
26,202501,15.5,26,2025-04-24,
27,202501,13,27,2025-04-24,
28,202501,15.5,28,2025-04-24,
29,202501,14.1,29,2025-04-24,
30,202501,11.2,30,2025-04-24,
31,202501,12.4,31,2025-04-24,
32,202501,11.4,32,2025-04-24,
33,202501,9.9,33,2025-04-24,
34,202501,11.5,34,2025-04-24,
35,202502,11.7,1,2025-04-24,
36,202502,12.7,2,2025-04-24,
37,202502,12.9,3,2025-04-24,
38,202502,15.1,4,2025-04-24,
39,202502,13.1,5,2025-04-24,
40,202502,12.7,6,2025-04-24,
41,202502,13.3,7,2025-04-24,
42,202502,16.6,8,2025-04-24,
43,202502,13.7,9,2025-04-24,
44,202502,12.9,10,2025-04-24,
45,202502,7,11,2025-04-24,
46,202502,15.9,12,2025-04-24,
47,202502,13.6,13,2025-04-24,
48,202502,12.8,14,2025-04-24,
49,202502,13,15,2025-04-24,
50,202502,16.3,16,2025-04-24,
51,202502,12.5,17,2025-04-24,
52,202502,12.9,18,2025-04-24,
53,202502,13.3,19,2025-04-24,
54,202502,15.4,20,2025-04-24,
55,202502,16.3,21,2025-04-24,
56,202502,13.6,22,2025-04-24,
57,202502,15.2,23,2025-04-24,
58,202502,12.1,24,2025-04-24,
59,202502,13.1,25,2025-04-24,
60,202502,15.5,26,2025-04-24,
61,202502,12.6,27,2025-04-24,
62,202502,14.2,28,2025-04-24,
63,202502,13.7,29,2025-04-24,
64,202502,11.1,30,2025-04-24,
65,202502,12.8,31,2025-04-24,
66,202502,11.3,32,2025-04-24,
67,202502,9.6,33,2025-04-24,
68,202502,11.3,34,2025-04-24,
69,202503,11.5,1,2025-04-24,
70,202503,14.3,2,2025-04-24,
71,202503,11.6,3,2025-04-24,
72,202503,15,4,2025-04-24,
73,202503,13,5,2025-04-24,
74,202503,12.6,6,2025-04-24,
75,202503,12.6,7,2025-04-24,
76,202503,16.6,8,2025-04-24,
77,202503,13,9,2025-04-24,
78,202503,12.3,10,2025-04-24,
79,202503,7,11,2025-04-24,
80,202503,15.8,12,2025-04-24,
81,202503,12.9,13,2025-04-24,
82,202503,12.8,14,2025-04-24,
83,202503,13.1,15,2025-04-24,
84,202503,16.3,16,2025-04-24,
85,202503,12.5,17,2025-04-24,
86,202503,13.2,18,2025-04-24,
87,202503,12.5,19,2025-04-24,
88,202503,15.4,20,2025-04-24,
89,202503,16.2,21,2025-04-24,
90,202503,14,22,2025-04-24,
91,202503,15.2,23,2025-04-24,
92,202503,12.1,24,2025-04-24,
93,202503,12.9,25,2025-04-24,
94,202503,15.5,26,2025-04-24,
95,202503,12.1,27,2025-04-24,
96,202503,13.6,28,2025-04-24,
97,202503,13.5,29,2025-04-24,
98,202503,11.1,30,2025-04-24,
99,202503,12.9,31,2025-04-24,
100,202503,11.3,32,2025-04-24,
101,202503,9.6,33,2025-04-24,
102,202503,11.5,34,2025-04-24,
103,202504,11.2,1,2025-04-24,
104,202504,12.1,2,2025-04-24,
105,202504,11.5,3,2025-04-24,
106,202504,10.8,4,2025-04-24,
107,202504,13,5,2025-04-24,
108,202504,12.6,6,2025-04-24,
109,202504,12.6,7,2025-04-24,
110,202504,16.5,8,2025-04-24,
111,202504,13.7,9,2025-04-24,
112,202504,12,10,2025-04-24,
113,202504,6.9,11,2025-04-24,
114,202504,15.3,12,2025-04-24,
115,202504,12.8,13,2025-04-24,
116,202504,13.1,14,2025-04-24,
117,202504,13,15,2025-04-24,
118,202504,16.3,16,2025-04-24,
119,202504,12.4,17,2025-04-24,
120,202504,13.2,18,2025-04-24,
121,202504,11.9,19,2025-04-24,
122,202504,15.3,20,2025-04-24,
123,202504,15.7,21,2025-04-24,
124,202504,12.8,22,2025-04-24,
125,202504,15.2,23,2025-04-24,
126,202504,10.3,24,2025-04-24,
127,202504,11.9,25,2025-04-24,
128,202504,15.5,26,2025-04-24,
129,202504,12.2,27,2025-04-24,
130,202504,13.6,28,2025-04-24,
131,202504,13.5,29,2025-04-24,
132,202504,10,30,2025-04-24,
133,202504,11.7,31,2025-04-24,
134,202504,11.3,32,2025-04-24,
135,202504,9.5,33,2025-04-24,
136,202504,11.5,34,2025-04-24,
137,202505,11,1,2025-04-24,
138,202505,11.9,2,2025-04-24,
139,202505,11.3,3,2025-04-24,
